course,race_number,time,html_link
cobram,1,2024-12-29 02:48:54.556645,https://swiftbet.com.au//racing/harness/cobram/race-1-1963739-1088218
cobram,2,2024-12-29 03:23:54.556695,https://swiftbet.com.au//racing/harness/cobram/race-2-1963741-1088218
cobram,3,2024-12-29 03:58:54.556743,https://swiftbet.com.au//racing/harness/cobram/race-3-1963746-1088218
cobram,4,2024-12-29 04:33:54.556791,https://swiftbet.com.au//racing/harness/cobram/race-4-1963751-1088218
cobram,5,2024-12-29 05:08:54.556839,https://swiftbet.com.au//racing/harness/cobram/race-5-1963754-1088218
cobram,6,2024-12-29 05:48:54.556887,https://swiftbet.com.au//racing/harness/cobram/race-6-1963759-1088218
cobram,7,2024-12-29 06:23:54.556934,https://swiftbet.com.au//racing/harness/cobram/race-7-1963764-1088218
globe-derby,1,2024-12-29 06:03:54.557008,https://swiftbet.com.au//racing/harness/globe-derby/race-1-1963661-1088210
globe-derby,2,2024-12-29 06:33:54.557055,https://swiftbet.com.au//racing/harness/globe-derby/race-2-1963663-1088210
globe-derby,3,2024-12-29 07:07:54.557106,https://swiftbet.com.au//racing/harness/globe-derby/race-3-1963666-1088210
globe-derby,4,2024-12-29 07:41:54.557153,https://swiftbet.com.au//racing/harness/globe-derby/race-4-1963670-1088210
globe-derby,5,2024-12-29 08:11:54.557204,https://swiftbet.com.au//racing/harness/globe-derby/race-5-1963676-1088210
globe-derby,6,2024-12-29 08:42:54.557251,https://swiftbet.com.au//racing/harness/globe-derby/race-6-1963688-1088210
globe-derby,7,2024-12-29 09:17:54.557298,https://swiftbet.com.au//racing/harness/globe-derby/race-7-1963694-1088210
globe-derby,8,2024-12-29 09:51:54.557345,https://swiftbet.com.au//racing/harness/globe-derby/race-8-1963703-1088210
globe-derby,9,2024-12-29 10:25:54.557392,https://swiftbet.com.au//racing/harness/globe-derby/race-9-1963711-1088210
globe-derby,10,2024-12-29 10:59:54.557439,https://swiftbet.com.au//racing/harness/globe-derby/race-10-1963723-1088210
carrick,1,2024-12-29 01:55:54.557483,https://swiftbet.com.au//racing/harness/carrick/race-1-1963671-1088215
carrick,2,2024-12-29 02:33:54.557530,https://swiftbet.com.au//racing/harness/carrick/race-2-1963679-1088215
carrick,3,2024-12-29 03:08:54.557588,https://swiftbet.com.au//racing/harness/carrick/race-3-1963685-1088215
carrick,4,2024-12-29 03:43:54.557635,https://swiftbet.com.au//racing/harness/carrick/race-4-1963698-1088215
carrick,5,2024-12-29 04:18:54.557682,https://swiftbet.com.au//racing/harness/carrick/race-5-1963705-1088215
carrick,6,2024-12-29 04:58:54.557729,https://swiftbet.com.au//racing/harness/carrick/race-6-1963714-1088215
carrick,7,2024-12-29 05:31:54.557777,https://swiftbet.com.au//racing/harness/carrick/race-7-1963720-1088215
carrick,8,2024-12-29 06:06:54.557824,https://swiftbet.com.au//racing/harness/carrick/race-8-1963727-1088215
carrick,9,2024-12-29 06:38:54.557871,https://swiftbet.com.au//racing/harness/carrick/race-9-1963733-1088215
motukarara,1,2024-12-28 23:09:54.557935,https://swiftbet.com.au//racing/harness/motukarara/race-1-1963770-1088222
motukarara,2,2024-12-28 23:34:54.557986,https://swiftbet.com.au//racing/harness/motukarara/race-2-1963782-1088222
motukarara,3,2024-12-28 23:59:54.558037,https://swiftbet.com.au//racing/harness/motukarara/race-3-1963790-1088222
motukarara,4,2024-12-29 00:32:54.558084,https://swiftbet.com.au//racing/harness/motukarara/race-4-1963804-1088222
motukarara,5,2024-12-29 01:07:54.558144,https://swiftbet.com.au//racing/harness/motukarara/race-5-1963811-1088222
motukarara,6,2024-12-29 01:41:54.558194,https://swiftbet.com.au//racing/harness/motukarara/race-6-1963814-1088222
motukarara,7,2024-12-29 02:18:54.558241,https://swiftbet.com.au//racing/harness/motukarara/race-7-1963817-1088222
motukarara,8,2024-12-29 02:52:54.558288,https://swiftbet.com.au//racing/harness/motukarara/race-8-1963820-1088222
motukarara,9,2024-12-29 03:29:54.558336,https://swiftbet.com.au//racing/harness/motukarara/race-9-1963823-1088222
motukarara,10,2024-12-29 03:57:54.558383,https://swiftbet.com.au//racing/harness/motukarara/race-10-1963827-1088222
motukarara,11,2024-12-29 04:22:54.558430,https://swiftbet.com.au//racing/harness/motukarara/race-11-1963830-1088222
motukarara,12,2024-12-29 04:50:54.558479,https://swiftbet.com.au//racing/harness/motukarara/race-12-1963832-1088222
